Chapter_Name,Category,Question_Text,Answer_or_Hint,,
,,Furniture,"20,000",Capital :,
,,Discount,"1,000",  Reena,"50,000"
,,Royalties,700,  Aarti,"30,000"
,,Rent,"1,900",,
,,Salaries,"3,000",,
,,Wages,800,,
,,Insurance,"1,500",,
,,Drawings :,,,
,, Reena,"2,000",,
,, Aarti,"1,000",,
,,Cash at Bank,"11,500",,
,,Cash in Hand,"2,000",,
,,,"165,500",,"165,500"
,,Adjustments :,,,
,,"1. Closing Stock valued at ?. 22,000.",,,
,,"2. Write off ?. 900 for Bad & doubtful debts and create a provision for Reserve For doubtful debts ?. 1,000. ",,,
,,3. Create a provision for Discount on Debtors @ 3% and creditors @ 5%.,,,
,,4. Outstanding Expenses - Wages ?. 700 and Salaries ?. 800.,,,
,,"5. Insurance is paid for 15 months, w.e.f. 1st April 2018 ",,,
,,6. Depreciate Land and Building @ 5%,,,
,,7. Reena & Aarti are Sharing Profits & Losses in their Capital Ratio.,,,
Chapter 1 : Partnership ?inal Accounts,Exercise_Problems,"From the following Trial Balance of M/S Meera and Madhav. Prepare Trading and Profit and Loss Account for the year ended 31st March, 2019 and Balance Sheet as on that date.","Ans : G.P. ?. 1,20500, N.P. ?. 96,445 Balance Sheet Total ?. 3,30,445",,
,,"Trial Balance as on 31st March, 2019",,,
,,Debit Balance,Amount ?.,Credit Balance,Amount ?.
,,Stock (1/4/2018),"25,000",Bank overdra?t,"5,000"
,,Debtors,"80,500",Bills Payable ,"12,500"
,,Bills Receivable,"10,000",Creditors,"68,000"
,,Purchases,"208,500",Sales ,"325,000"
,,Returns,"1,000",Outstanding Rent ,"2,000"
,,Carriage Inward,"3,000",Unpaid Wages,"1,500"
,,Carriage Outwards,"4,500",Capital : ,
,,Motor Vehicle,"55,000",Meera,"75,000"
,,General Expenses,"1,800",Madhav,"75,000"
,,Export Duty,900,Purchase Return,"1,000"
,,Advertisement ,"4,800",,
,,(For 3 years from 1/10/2018),"1,200",,
,,Printing & Stationary ,,,
,,Drawings :,,,
,, Meera ,"3,500",,
,, Madhav,"2,000",,
,,Leasehold Premises ,"110,000",,
,,Cash at Bank ,"45,000",,
,,Furniture,"8,300",,
,,,"565,000",,"565,000"
,,Adjustments :,,,
,,"1. Closing Stock is valued at ?. 32,000.",,,
,,"2. Provide Provision for Doubtful Debts ?. 2,000.",,,
,,3. Create reserve for Discount on Debtors @ 3%. ,,,
,,"4. Valued of Leasehold Premises on 31st March 2019 ?. 1,00,000.",,,
,,5. Out standing Expenses Printing & Stationary ?. 500.,,,
Chapter 1 : Partnership ?inal Accounts,Exercise_Problems,Sucheta & Gayatri are Partners sharing Profit and Losses in the ratio 3:2. From the following Trial Balance and additional information you are required to prepare Trading and Profit and Loss Account for the year year ended 31st March 2019 and Balance Sheet as on that date.,"Ans : G.P. ? 1,15,850, N.P. ? 97,365 Balance Sheet Total ? 2,80,815",,
,,"Trial Balance as on 31st March, 2019",,,
,,Particulars,Debit ?,Credit ?,
,,Purchases & Sales ,"65,000",185500,
,,Works Manager's Salary,"2,300",,
,,Capital - Sucheta,,"75,000",
,,Gayatri,,"40,000",
,,Opening Stock,"18,700",,
,,Debtors & Creditors,"47,500","35,000",
,,Wages & Salaries,"4,000",,
,,Bills Receivable,"22,000",,
,,Bills Payable,,"27,300",
,,Discount,,400,
,,Motive Power ,"1,350",,
,,Custom duty,"1,500",,
,,Interest ,,"1,300",
,,Unproductive Wages,"3,000",,
,,Audit Fees,"2,500",,
,,Rent,"1,800",,
,,Conveyance,"2,000",,
,,Goodwill,"25,000",,
,,Copyrights ,"20,000",,
,,Building,"88,000",,
,,Partner (Sucheta's) Loan,,"6,150",
,,Investments,"40,000",,
,,Cash at Bank,"26,000",,
,,,"3,70,650","3,70,650",
,,Adjustments :,,,
,,"1. Stock on 31st March 2019 was valued at ? 19,700.",,,
,,"2. Goods costing ? 3,000 distributed as Free sample.",,,
,,3. Motive Power includes ? 500 paid for deposit of Power Meter.,,,
,,4. Depreciate Building @ 5%.,,,
,,"5. Write of ? 2,000 for Bad debts and maintain R.D.D at 3% on Debtors.",,,
,,"6. Bills Receivable included dishonoured of Bill of ? 4,000.",,,
Chapter 1 : Partnership ?inal Accounts,Exercise_Problems,"Archana and Prerana are partners, sharing Profits and Losses in the ratio 2:1 with the help of following Trial Balance and Adjustments given below. You are required to prepare Trading and Profit and Loss Account for the year ended 31st  March 2019 and Balance Sheet as on that date.","Ans : G.P. ? 8,290, N.P. ? 825 Balance Sheet Total ? 87,525",,
,,"Trial Balance as on 31st March, 2019",,,
,,Debit Balance,Amount ?,Credit Balance,Amount ?
,,Stock  (1/4/2018),"8,560",Capital : ,
,,Patents,"2,000", Archana ,"40,000"
,,Sundry Debtors,"18,500", Prerana ,"20,000"
,,Stock of Stationary,"3,000",Other Loans,"3,000"
,,Trade Mark,"2,000",Reserve ?und ,"1,000"
,,Bills Receivable,"6,300",Sundry Creditors ,"17,500"
,,Electricity charges,"1,450",Bills Payable ,"5,000"
,,Wages,950,Purchase Return ,"1,000"
,,Heating & Lighting ,"1,000",R.D.D,500
,,Trade Expenses,850,Sales,"30,200"
,,Sales Return,400,Interest,310
,,Land & Building,"22,000",,
,,Furniture,"13,000",,
,,Cash at Bank,"5,000",,
,,Investments,"7,500",,
,,Drawings :,,,
,, Archana,"1,200",,
,, Prerana,900,,
,,Baddebts,200,,
,,Purchases,"23,700",,
,,,"1,18,510",,"1,18,510"
,,Adjustments :,,,
,,"1. Stock on 31st March 2019 is valued at Cost Price ? 12,000 and Markct Price ? 17,000. ",,,
,,2. Our customer Mr. Shekhar failed to pay his dues of ? 800.,,,
,,3. 1/8th of Patents to be witten off. ,,,
,,"4. A part of Furniture ? 5,000 is purchased on 1st Oct 2018.",,,
,,5. Depreciation on Land & Building 10% and on ?urniture 5%.,,,
,,6. Outstanding Expenses Wages ? 300 and Electricity Charges ? 200.,,,
,,7. Allow Interest on Capital 3%.,,,
Chapter 1 : Partnership ?inal Accounts,Exercise_Problems,"Satish and Pramod are Partners. Prepare Trading Account and Profit and Loss Account for the year 31st March, 2019. You have to find out Gross Profit and Net Profit only.","G.P. ? 56,200, N.P. ? 48,964 ",,
,,"Trial Balance as on 31st March, 2019",,,
,,Debit Balance,Amount ?,Credit Balance,Amount ?
,,Stock (1/4/218),"8,700",Sales,"68,000"
,,Purchases,"18,300",Dividend ,"2,000"
,,Wages,"1,000",Purchases Return ,500
,,Insurance ,800,Sundry Creditors ,"13,000"
,,Unproductive Wages,"1,400",10% Bank Loan,"8,000"
,,Warehouse Rent,600,(w.e.f. 1/7/2018),
,,Carriage Outward,"1,200",Other Receipts,"1,000"
,,Sales Return ,600,,
,,Export Duty,"1,400",,
,,Customs Duty,800,,
,,Sundry Debtors,"40,000",,
,,Investments,"15,700",,
,,Factory Rent,"1,600",,
,,Postage & Telegram,400,,
,,,"92,500",,"92,500"
,,Adjustments :,,,
,,"1. The Closing Stock is valued at ? 15,400.",,,
,,2. Outstanding Wages ? 500.,,,
,,3. Create provision for Bad debts ? 800 and maintain R.D.D 3% on Sundry Debtors.,,,
,,"4. Goods of  ? 1,800 distributed as a ?ree sample.",,,
,,"5. Goods of  ? 2,000 were sold and delivered on 31st March 2019 but no entry is passed in the Books of Account.",,,
Chapter 1 : Partnership ?inal Accounts,Exercise_Problems,Nana and Nani are Partners in Partnership Firm sharing Profits and Losses equally. You are required to give effects of Adjustments in Profit & Loss A/c and Balance Sheet with the help of following information.,,,
,,"Trial Balance as on 31st March, 2019",,,
,,Debit Balance,Amount ?,Credit Balance,Amount ?
,,Insurance,"15,000",Capital A/c,
,,Land and building,"50,000", Nana,"50,000"
,,"(Addition of ` 20,000 w.e.f 1st July 2018)",, Nani,"50,000"
,,Salaries,"5,000",10`% Bank loan taken on 1st Oct. 2018 ,"30,000"
,,Export Duty,"2,500",Interest,"1,500"
,,Interest,"1,000",Bills Payable,"8,000"
,,Furniture,"40,000",,
,,Debtors,"26,000",,
,,,"139,500",,"139,500"
,,Adjustments :,,,
,,"1. Gross profit amounted to ? 34,500.",,,
,,2. Insurance Paid for 15 months w.e.f. 1.4.2018.,,,
,,3. Depreciate Land and Building at 10% p.a. and Furniture at 5% p.a.,,,
,,"4. Write off ? 1,000 for Bad Debts and maintain R.D.D at 5% on Sundry Debtors.",,,
,,"5. Closing Stock is valued at ? 34,500.",,,
Chapter 1 : Partnership ?inal Accounts,Exercise_Problems,Sun and Moon are Partners in Partnership Firm sharing Profits and Losses equally. You are required to give effects of Adjustments with the help of following information.,"Balance Sheet Total ? 1,68,263, Current A/c Balance Sun ? 32,731, Moon ? 22,732",,
,,"Trial Balance as on 31st March, 2019",,,
,,Debit Balance,Amount ?,Credit Balance,Amount ?
,,Land & Building,"40,000",Capital A/C ,
,,Furniture ,"18,000", Sun,"33,500"
,,Machinery (Purchased on 1/7/18),"40,000", Moon,"33,500"
,,Goodwill ,"2,000",Current A/c : Sun,"6,000"
,,Wages,"2,000",Sundry Creditors,"25,000"
,,Current A/c : Moon,"4,000",Bank Overdra?t,"10,000"
,,8% Debentures (Purchased on 1/10/18),"8,000",Reserve Fund,"5,000"
,,Providend ?und Investment,"3,500",Providend ?und,"5,000"
,,Stock of Postal stamps,500,,
,,,"1,18,000",,"1,18,000"
,,Adjustments :,,,
,,"1. Partners are entitled to get salary ? 6,000 p.a. in addition to their profit & loss sharing.",,,
,,"2. Depreciation on Land & Building, Furniture & Machinery @ 10%, 5% and 3% respectively.",,,
,,3. Interest on Capital 5% p.a.,,,
,,"4. Closing Stock ? 60,743.",,,
,,"5. Wages included ? 1,000 as advance given to workers.",,,
,,6. Interest due but not paid ? 800.,,,
,,"7. Total Net Profit amounted to ? 38,113.",,,
Chapter 1 : Partnership ?inal Accounts,Exercise_Problems,"Kshipra and Manisha are Partners sharing Profit and Losses in their Capital Ratio. You are required to prepare Trading Account and Profit and Loss Account for the year ended 31st March, 2019 and Balance Sheet as on that date. ",,,
,,"Trial Balance as on 31st March, 2019",,,
,,Debit Balance,Amount ?,Credit Balance,Amount ?
,,Sundry Debtors,"28,000",Sales ,"120,000"
,,Purchases,"55,000",Rent,"1,800"
,,Furniture,"38,500",Sundry Creditors,"38,500"
,,Plant & Machinery ,"60,000",Purchase Return,"1,000"
,,Wages,800,Discount ,500
,,Salaries,"3,500",Bills Payable ,"9,000"
,,Discount,800,Capital A/c :,
,,Bills Receivable,"14,400", Kshipra ,"90,000"
,,Carriage Outward,"1,000", Manisha ,"30,000"
,,Postage ,500,Current A/c :,
,,Sales Return,500, Kshipra ,"5,000"
,,Cash in Hand,"4,000", Manisha,"3,000"
,,Cash at Bank,"47,000",,
,,Insurance,"2,000",,
,,Opening Stock,"17,800",,
,,Trade Expenses,"1,500",,
,,Ware house Rent,"2,500",,
,,Advertisement,"1,000",,
,,Building,"20,000",,
,,,"298,800",,"298,800"
,,Adjustments :,,,
,,"1. Stock on 31st March 2019 was at ? 37,000.",,,
,,"2. Sales includes, sale of machinery of ? 2,000, which is sold on 1st April 2018.",,,
,,3. Depreciation on Fixed assets @ 5%.,,,
,,4. Each Partners is entitled to get Commission at 1% of Gross Profit and Interest on Capital 5% p.a.,,,
,,5. Outstanding Expenses Wages ? 200 & Salaries ? 500.,,,
,,6. Create provision for doubtful debts @ 3% on Sundry Debtors.,,,
